NODE: 69 	 0.100988 	 85 	 85 	 1 	 4 	 6.1010 	 1 
NODE: 8 	 0.100988 	 85 	 85 	 1 	 4 	 6.1010 	 1 
NODE: 85 	 0.105810 	 69 	 69 	 1 	 4 	 10.1058 	 1 
NODE: 96 	 0.126734 	 85 	 8 	 2 	 4 	 6.1267 	 1 
NODE: 77 	 2.511039 	 85 	 85 	 1 	 8 	 8.5110 	 1 
NODE: 96 	 2.518469 	 85 	 77 	 2 	 8 	 8.5185 	 1 
NODE: 77 	 2.550517 	 85 	 85 	 1 	 10 	 8.5505 	 1 
NODE: 96 	 2.556059 	 85 	 77 	 2 	 10 	 8.5561 	 1 
NODE: 77 	 2.616073 	 85 	 85 	 1 	 12 	 8.6161 	 1 
NODE: 96 	 2.625768 	 85 	 77 	 2 	 12 	 8.6258 	 1 
NODE: 60 	 2.629867 	 85 	 96 	 3 	 12 	 8.6299 	 1 
NODE: 86 	 2.635501 	 85 	 60 	 4 	 12 	 8.6355 	 1 
NODE: 77 	 2.697873 	 85 	 85 	 1 	 14 	 8.6979 	 1 
NODE: 96 	 2.701068 	 85 	 77 	 2 	 14 	 8.7011 	 1 
NODE: 60 	 2.710167 	 85 	 96 	 3 	 14 	 8.7102 	 1 
NODE: 86 	 2.719416 	 85 	 60 	 4 	 14 	 8.7194 	 1 
NODE: 77 	 3.050389 	 85 	 85 	 1 	 16 	 9.0504 	 1 
NODE: 96 	 3.055986 	 85 	 77 	 2 	 16 	 9.0560 	 1 
NODE: 60 	 3.065818 	 85 	 96 	 3 	 16 	 9.0658 	 1 
NODE: 69 	 0.101408 	 85 	 85 	 1 	 4 	 6.1014 	 1 
NODE: 8 	 0.101408 	 85 	 85 	 1 	 4 	 6.1014 	 1 
NODE: 96 	 0.105310 	 85 	 8 	 7 	 4 	 6.1053 	 1 
NODE: 85 	 0.107013 	 69 	 69 	 2 	 4 	 10.1070 	 1 
NODE: 77 	 2.485341 	 85 	 85 	 1 	 8 	 8.4853 	 1 
NODE: 96 	 2.489994 	 85 	 77 	 5 	 8 	 8.4900 	 1 
NODE: 77 	 2.517829 	 85 	 85 	 1 	 10 	 8.5178 	 1 
NODE: 96 	 2.525461 	 85 	 77 	 1 	 10 	 8.5255 	 1 
NODE: 77 	 2.566821 	 85 	 85 	 1 	 12 	 8.5668 	 1 
NODE: 96 	 2.573867 	 85 	 77 	 3 	 12 	 8.5739 	 1 
NODE: 77 	 2.624085 	 85 	 85 	 1 	 14 	 8.6241 	 1 
NODE: 96 	 2.627313 	 85 	 77 	 3 	 14 	 8.6273 	 1 
NODE: 60 	 2.634758 	 85 	 96 	 6 	 14 	 8.6348 	 1 
NODE: 86 	 2.640448 	 85 	 60 	 10 	 14 	 8.6404 	 1 
NODE: 77 	 2.837137 	 85 	 85 	 1 	 16 	 8.8371 	 1 
NODE: 96 	 2.846235 	 85 	 77 	 9 	 16 	 8.8462 	 1 
NODE: 60 	 2.855484 	 85 	 96 	 2 	 16 	 8.8555 	 1 
NODE: 86 	 2.864427 	 85 	 60 	 8 	 16 	 8.8644 	 1 
